id,category,title,summary,body,published_at,updated_at
news-20260008,maintenance,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-14T05:40:28.764571+00:00,2025-03-14T13:40:28.764571+00:00
news-20260009,maintenance,システムメンテナンスのお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-31T16:13:01.764571+00:00,2025-09-02T02:13:01.764571+00:00
news-20260010,maintenance,機能追加のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-04-20T12:22:37.764571+00:00,2025-04-21T15:22:37.764571+00:00
news-20260011,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-01-31T15:47:24.764571+00:00,2026-02-02T00:47:24.764571+00:00
news-20260012,outage,手数料改定のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-05-04T09:49:01.764571+00:00,2025-05-04T16:49:01.764571+00:00
news-20260013,outage,機能追加のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-03-18T10:22:26.764571+00:00,2025-03-18T15:22:26.764571+00:00
news-20260014,announcement,機能追加のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-02-11T13:45:38.764571+00:00,2025-02-13T09:45:38.764571+00:00
news-20260015,outage,手数料改定のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-03-25T11:23:17.764571+00:00,2025-03-26T04:23:17.764571+00:00
news-20260016,announcement,障害復旧のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-07-19T01:12:12.764571+00:00,2025-07-20T18:12:12.764571+00:00
news-20260017,outage,障害復旧のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-09-04T13:29:16.764571+00:00,2025-09-04T21:29:16.764571+00:00
news-20260018,maintenance,障害復旧のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-11-16T15:01:36.764571+00:00,2025-11-19T08:01:36.764571+00:00
news-20260019,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-07-08T13:24:21.764571+00:00,2025-07-10T01:24:21.764571+00:00
news-20260020,announcement,障害復旧のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-17T05:33:20.764571+00:00,2025-08-19T22:33:20.764571+00:00
news-20260021,outage,障害復旧のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-04-30T06:29:53.764571+00:00,2025-05-01T03:29:53.764571+00:00
news-20260022,announcement,障害復旧のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-11-26T06:42:28.764571+00:00,2025-11-27T13:42:28.764571+00:00
news-20260023,maintenance,障害復旧のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-04-01T06:03:28.764571+00:00,2025-04-03T07:03:28.764571+00:00
news-20260024,announcement,障害復旧のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-11-02T18:21:26.764571+00:00,2025-11-03T18:21:26.764571+00:00
news-20260025,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-02-16T03:02:27.764571+00:00,2025-02-16T16:02:27.764571+00:00
news-20260026,outage,手数料改定のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-09-19T09:49:14.764571+00:00,2025-09-21T12:49:14.764571+00:00
news-20260027,outage,手数料改定のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-10-22T10:21:29.764571+00:00,2025-10-23T16:21:29.764571+00:00
news-20260028,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-01-19T23:07:22.764571+00:00,2026-01-20T09:07:22.764571+00:00
news-20260029,outage,機能追加のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-03-09T01:45:13.764571+00:00,2025-03-09T18:45:13.764571+00:00
news-20260030,announcement,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-22T05:47:34.764571+00:00,2025-08-25T00:47:34.764571+00:00
news-20260031,outage,機能追加のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-04-15T13:55:18.764571+00:00,2025-04-16T06:55:18.764571+00:00
news-20260032,maintenance,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-06-05T17:48:06.764571+00:00,2025-06-07T15:48:06.764571+00:00
news-20260033,maintenance,手数料改定のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-12-11T07:05:57.764571+00:00,2025-12-14T03:05:57.764571+00:00
news-20260034,outage,手数料改定のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-10-26T07:32:43.764571+00:00,2025-10-27T00:32:43.764571+00:00
news-20260035,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-12-05T17:15:54.764571+00:00,2025-12-08T11:15:54.764571+00:00
news-20260036,outage,手数料改定のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-10-14T15:34:17.764571+00:00,2025-10-14T21:34:17.764571+00:00
news-20260037,announcement,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-03-07T14:36:45.764571+00:00,2025-03-08T19:36:45.764571+00:00
news-20260038,outage,障害復旧のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-20T14:31:58.764571+00:00,2026-01-21T02:31:58.764571+00:00
news-20260039,maintenance,障害復旧のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-25T17:37:02.764571+00:00,2025-08-26T01:37:02.764571+00:00
news-20260040,announcement,手数料改定のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-07-30T02:31:53.764571+00:00,2025-08-01T00:31:53.764571+00:00
news-20260041,maintenance,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-02-24T07:46:49.764571+00:00,2025-02-26T21:46:49.764571+00:00
news-20260042,announcement,手数料改定のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-03-04T02:50:34.764571+00:00,2025-03-07T00:50:34.764571+00:00
news-20260043,maintenance,障害復旧のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-07-30T16:37:24.764571+00:00,2025-08-01T11:37:24.764571+00:00
news-20260044,outage,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-07-13T04:27:33.764571+00:00,2025-07-13T09:27:33.764571+00:00
news-20260045,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-06-25T01:45:58.764571+00:00,2025-06-27T01:45:58.764571+00:00
news-20260046,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-29T18:45:14.764571+00:00,2026-01-31T17:45:14.764571+00:00
news-20260047,outage,機能追加のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-03-16T04:20:28.764571+00:00,2025-03-16T15:20:28.764571+00:00
news-20260048,announcement,手数料改定のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-06-09T18:40:43.764571+00:00,2025-06-10T07:40:43.764571+00:00
news-20260049,maintenance,システムメンテナンスのお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-15T08:02:03.764571+00:00,2026-01-16T20:02:03.764571+00:00
news-20260050,maintenance,手数料改定のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-04-18T14:15:16.764571+00:00,2025-04-20T01:15:16.764571+00:00
news-20260051,maintenance,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-15T02:46:03.764571+00:00,2025-08-17T10:46:03.764571+00:00
news-20260052,announcement,障害復旧のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-26T08:47:02.764571+00:00,2026-01-28T18:47:02.764571+00:00
news-20260053,announcement,障害復旧のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-10-15T20:05:15.764571+00:00,2025-10-17T10:05:15.764571+00:00
news-20260054,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-11-12T14:37:59.764571+00:00,2025-11-14T09:37:59.764571+00:00
news-20260055,outage,手数料改定のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-04-04T13:58:30.764571+00:00,2025-04-05T03:58:30.764571+00:00
news-20260056,maintenance,手数料改定のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-07-24T12:09:16.764571+00:00,2025-07-26T12:09:16.764571+00:00
news-20260057,outage,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-12-26T11:32:52.764571+00:00,2025-12-29T09:32:52.764571+00:00
news-20260058,maintenance,障害復旧のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-05-22T13:51:47.764571+00:00,2025-05-23T06:51:47.764571+00:00
news-20260059,outage,手数料改定のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-05-06T18:33:37.764571+00:00,2025-05-09T03:33:37.764571+00:00
news-20260060,announcement,障害復旧のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-23T15:52:44.765071+00:00,2026-01-24T00:52:44.765071+00:00
news-20260061,outage,システムメンテナンスのお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-02-01T11:20:55.765071+00:00,2026-02-03T12:20:55.765071+00:00
news-20260062,outage,障害復旧のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-03-28T12:51:01.765071+00:00,2025-03-30T08:51:01.765071+00:00
news-20260063,outage,機能追加のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-13T09:12:58.765071+00:00,2026-01-14T16:12:58.765071+00:00
news-20260064,outage,機能追加のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2026-02-04T17:40:14.765071+00:00,2026-02-07T10:40:14.765071+00:00
news-20260065,maintenance,システムメンテナンスのお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2026-01-23T21:17:28.765071+00:00,2026-01-25T20:17:28.765071+00:00
news-20260066,maintenance,手数料改定のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-16T09:59:29.765071+00:00,2025-08-18T00:59:29.765071+00:00
news-20260067,outage,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-11-25T05:30:09.765071+00:00,2025-11-27T02:30:09.765071+00:00
news-20260068,announcement,機能追加のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-12-06T00:51:41.765071+00:00,2025-12-06T11:51:41.765071+00:00
news-20260069,maintenance,障害復旧のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-11T01:39:06.765071+00:00,2025-08-11T03:39:06.765071+00:00
news-20260070,outage,手数料改定のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-02-12T11:50:43.765071+00:00,2025-02-14T20:50:43.765071+00:00
news-20260071,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-12-28T06:46:12.765071+00:00,2025-12-29T00:46:12.765071+00:00
news-20260072,outage,障害復旧のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-09-07T11:50:00.765071+00:00,2025-09-10T09:50:00.765071+00:00
news-20260073,outage,手数料改定のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-09-28T10:30:01.765071+00:00,2025-09-29T09:30:01.765071+00:00
news-20260074,maintenance,障害復旧のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-05-07T20:48:48.765071+00:00,2025-05-08T04:48:48.765071+00:00
news-20260075,maintenance,システムメンテナンスのお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-19T08:16:12.765071+00:00,2025-03-19T10:16:12.765071+00:00
news-20260076,maintenance,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-02-13T01:13:23.765071+00:00,2025-02-13T21:13:23.765071+00:00
news-20260077,outage,手数料改定のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-09-01T19:23:43.765071+00:00,2025-09-02T18:23:43.765071+00:00
news-20260078,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-01-29T20:44:06.765071+00:00,2026-02-01T00:44:06.765071+00:00
news-20260079,outage,障害復旧のお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2025-05-01T03:24:07.765071+00:00,2025-05-01T13:24:07.765071+00:00
news-20260080,outage,手数料改定のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-05-07T19:34:02.765071+00:00,2025-05-10T00:34:02.765071+00:00
news-20260081,outage,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-10-18T23:48:14.765071+00:00,2025-10-20T21:48:14.765071+00:00
news-20260082,maintenance,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-17T11:05:08.765071+00:00,2025-08-19T11:05:08.765071+00:00
news-20260083,maintenance,障害復旧のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-03T18:47:58.765071+00:00,2026-01-06T13:47:58.765071+00:00
news-20260084,outage,障害復旧のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-05-04T02:59:10.765071+00:00,2025-05-06T22:59:10.765071+00:00
news-20260085,maintenance,障害復旧のお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-03-25T01:00:44.765071+00:00,2025-03-26T01:00:44.765071+00:00
news-20260086,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-29T17:25:55.765071+00:00,2025-08-30T09:25:55.765071+00:00
news-20260087,announcement,機能追加のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-05-16T13:04:15.765071+00:00,2025-05-18T06:04:15.765071+00:00
news-20260088,announcement,手数料改定のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-11-13T21:58:42.765071+00:00,2025-11-16T09:58:42.765071+00:00
news-20260089,announcement,手数料改定のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-05-30T11:20:48.765071+00:00,2025-06-01T02:20:48.765071+00:00
news-20260090,announcement,機能追加のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-01-25T03:57:27.765071+00:00,2026-01-26T19:57:27.765071+00:00
news-20260091,announcement,機能追加のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-04-19T07:23:01.765071+00:00,2025-04-21T13:23:01.765071+00:00
news-20260092,maintenance,システムメンテナンスのお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-08T11:37:33.765071+00:00,2025-08-09T03:37:33.765071+00:00
news-20260093,announcement,手数料改定のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-19T19:28:22.765071+00:00,2025-03-22T12:28:22.765071+00:00
news-20260094,outage,障害復旧のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-06-15T20:36:52.765071+00:00,2025-06-17T14:36:52.765071+00:00
news-20260095,announcement,機能追加のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-06-02T02:10:39.765071+00:00,2025-06-03T12:10:39.765071+00:00
news-20260096,outage,機能追加のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-19T03:57:43.765071+00:00,2025-03-20T15:57:43.765071+00:00
news-20260097,outage,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-05T12:07:18.765071+00:00,2025-08-06T23:07:18.765071+00:00
news-20260098,announcement,機能追加のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-08-28T13:39:31.765071+00:00,2025-08-30T08:39:31.765071+00:00
news-20260099,outage,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-09-16T01:06:57.765071+00:00,2025-09-16T08:06:57.765071+00:00
news-20260100,outage,機能追加のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-09-03T16:17:55.765071+00:00,2025-09-04T01:17:55.765071+00:00
news-20260101,announcement,手数料改定のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-05T05:31:51.765071+00:00,2025-08-05T20:31:51.765071+00:00
news-20260102,maintenance,手数料改定のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-27T19:32:02.765071+00:00,2025-03-28T03:32:02.765071+00:00
news-20260103,maintenance,手数料改定のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-12-06T08:55:46.765071+00:00,2025-12-06T22:55:46.765071+00:00
news-20260104,maintenance,手数料改定のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-10-03T16:33:20.765071+00:00,2025-10-05T22:33:20.765071+00:00
news-20260105,announcement,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-02-16T12:56:14.765071+00:00,2025-02-18T11:56:14.765071+00:00
news-20260106,announcement,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-04-25T13:18:47.765071+00:00,2025-04-27T23:18:47.765071+00:00
news-20260107,outage,機能追加のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-11-04T22:33:38.765071+00:00,2025-11-04T22:33:38.765071+00:00
news-20260108,outage,システムメンテナンスのお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-10-10T19:35:37.765071+00:00,2025-10-11T03:35:37.765071+00:00
news-20260109,announcement,手数料改定のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-12-19T00:43:49.765071+00:00,2025-12-20T19:43:49.765071+00:00
news-20260110,announcement,手数料改定のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-01-05T06:13:28.765071+00:00,2026-01-07T07:13:28.765071+00:00
news-20260111,outage,手数料改定のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-11-08T11:16:25.765071+00:00,2025-11-08T11:16:25.765071+00:00
news-20260112,maintenance,手数料改定のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-10-11T23:05:35.765071+00:00,2025-10-14T22:05:35.765071+00:00
news-20260113,outage,機能追加のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-04-05T16:00:57.765071+00:00,2025-04-06T14:00:57.765071+00:00
news-20260114,announcement,障害復旧のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-06-05T21:48:08.765071+00:00,2025-06-06T12:48:08.765071+00:00
news-20260115,announcement,手数料改定のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-02-02T01:32:55.765071+00:00,2026-02-02T19:32:55.765071+00:00
news-20260116,maintenance,手数料改定のお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-03-09T02:05:27.765071+00:00,2025-03-09T06:05:27.765071+00:00
news-20260117,maintenance,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-02-13T03:49:06.765071+00:00,2025-02-15T00:49:06.765071+00:00
news-20260118,announcement,障害復旧のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-03-22T12:42:05.765071+00:00,2025-03-23T08:42:05.765071+00:00
news-20260119,announcement,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,ご不便をおかけしますが、何卒ご理解ください。,2025-08-04T00:15:38.765071+00:00,2025-08-06T12:15:38.765071+00:00
news-20260120,maintenance,手数料改定のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-10-07T21:45:02.765071+00:00,2025-10-08T13:45:02.765071+00:00
news-20260121,announcement,手数料改定のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-03-25T07:36:54.765071+00:00,2025-03-26T06:36:54.765071+00:00
news-20260122,outage,手数料改定のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2025-05-20T12:29:33.765071+00:00,2025-05-21T06:29:33.765071+00:00
news-20260123,maintenance,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,ご不便をおかけしますが、何卒ご理解ください。,2026-01-16T23:55:51.765071+00:00,2026-01-18T07:55:51.765071+00:00
news-20260124,maintenance,機能追加のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-09-24T12:16:46.765071+00:00,2025-09-26T05:16:46.765071+00:00
news-20260125,announcement,機能追加のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2026-01-29T21:40:56.765071+00:00,2026-01-31T09:40:56.765071+00:00
news-20260126,announcement,システムメンテナンスのお知らせ,重要なお知らせを掲載します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-08-22T17:16:47.765071+00:00,2025-08-23T02:16:47.765071+00:00
news-20260127,outage,手数料改定のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-11-19T14:47:43.765071+00:00,2025-11-20T10:47:43.765071+00:00
news-20260128,outage,手数料改定のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-07T22:54:42.765071+00:00,2026-01-08T04:54:42.765071+00:00
news-20260129,outage,機能追加のお知らせ,影響範囲をご確認ください。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-05T07:17:21.765071+00:00,2025-03-06T04:17:21.765071+00:00
news-20260130,announcement,機能追加のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-02-24T13:41:30.765071+00:00,2025-02-25T03:41:30.765071+00:00
news-20260131,outage,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-10-23T08:49:46.765071+00:00,2025-10-24T10:49:46.765071+00:00
news-20260132,announcement,手数料改定のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-10-09T21:14:48.765071+00:00,2025-10-12T10:14:48.765071+00:00
news-20260133,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-26T18:50:17.765071+00:00,2025-08-29T01:50:17.765071+00:00
news-20260134,announcement,機能追加のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-02-09T00:37:52.765071+00:00,2026-02-10T00:37:52.765071+00:00
news-20260135,outage,手数料改定のお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-03-01T21:34:48.765071+00:00,2025-03-03T00:34:48.765071+00:00
